GasPrice	ElePrice	VehPrice	mpg	mpg_unknown	mpg_known	range	size	curveh_model_year	curveh_age	curveh_price	curveh_mpg	curveh_mpg_known	curveh_mpg_unknown	curveh_range	curveh_size	Vehicles
3.25	4.75	1.4	0.24	0	0.24	0.7	2	2009	5	1.4	0.24	0.24	0	0	2	3
3.75	4.25	2	0	0	0	0.9	3	2006	8	2	0	0	0	0	3	2
3.75	4.5	1.4	0.4	0	0.4	1.1	2	2010	4	1.4	0.4	0.4	0	0	2	2
4.25	4.5	4	0.17	0	0.17	0.6	3	2012	2	4	0.17	0.17	0	0	3	2
3.5	4	2.4	0	0	0	0.6	2	2005	9	2.4	0	0	0	0	2	3
3.5	4.25	1.1	0.25	0	0.25	0.75	3	2004	10	1.1	0.25	0.25	0	0	3	3
4	4.25	1.2	0	0	0	0.75	1	2009	5	1.2	0	0	0	0	1	2
3.75	4.5	1.8	0.31	0	0.31	1.1	1	2005	9	1.8	0.31	0.31	0	0	1	2
3.75	5.25	3.2	0.5	0	0.5	1	2	2010	4	3.2	0.5	0.5	0	0	2	3
3.5	4.75	2.5	0	0	0	0.9	3	2005	9	2.5	0	0	0	0	3	3
4	5	1.8	0	0	0	0.6	1	2005	9	1.8	0	0	0	0	1	2
3.25	4.5	0.1425	0	0	0	0.7	3	1987	27	0.1425	0	0	0	0	3	2
4.25	4.5	1.8	0.26	0	0.26	1.1	1	2014	0	1.8	0.26	0.26	0	0	1	4
3.25	4.5	2.5	0.27	0	0.27	1.1	3	2014	0	2.5	0.27	0.27	0	0	3	2
3.5	4	1.5	0.26	0	0.26	0.9	1	2004	10	1.5	0.26	0.26	0	0	1	3
4.25	5.25	3	0	0	0	0.85	2	2010	4	3	0	0	0	0	2	2
3	4.5	0	0	0	0	1.1	2	2000	14	0	0	0	0	0	2	2
3.5	4.75	1	0	0	0	0.7	2	2008	6	1	0	0	0	0	2	2
4.25	5.25	2.5	0.2	0	0.2	0.9	3	2002	12	2.5	0.2	0.2	0	0	3	2
3.5	5.25	3.4	0.16	0	0.16	0.9	3	2005	9	3.4	0.16	0.16	0	0	3	4
4	4	1.8	0	0	0	0.85	3	2010	4	1.8	0	0	0	0	3	2
3.75	4.5	3	0	0	0	1	3	2003	11	3	0	0	0	0	3	3
4.25	4.75	1.45	0.2	0	0.2	0.85	3	2002	12	1.45	0.2	0.2	0	0	3	3
3.25	4.25	0.75	0	0	0	0.7	2	2006	8	0.75	0	0	0	0	2	2
3	4.5	1.9999	0.22	0	0.22	0.85	1	2010	4	1.9999	0.22	0.22	0	0	1	2
3.5	5.25	2.3	0.25	0	0.25	1	2	2011	3	2.3	0.25	0.25	0	0	2	2
4	4.25	2.2	0.27	0	0.27	0.75	2	2003	11	2.2	0.27	0.27	0	0	2	2
3.5	4.5	2.5	0.25	0	0.25	1	2	2005	9	2.5	0.25	0.25	0	0	2	3
3.25	4	0.12	0	0	0	0.9	3	1994	20	0.12	0	0	0	0	3	4
3.75	4.25	2.7	0.18	0	0.18	0.9	1	2005	9	2.7	0.18	0.18	0	0	1	3
3.75	4.5	0.65	0	0	0	0.75	2	2001	13	0.65	0	0	0	0	2	2
3.25	4.25	2.5	0.4	0	0.4	0.7	1	2003	11	2.5	0.4	0.4	0	0	1	5
4	4.5	2.7	0	0	0	0.6	2	2010	4	2.7	0	0	0	0	2	3
6.32	5.26	2	0.51	0.51	0	0.95	1	2017	4	2	0.51	0	0.51	0	1	3
3	4.25	0	0	0	0	0.75	2	2008	6	0	0	0	0	0	2	3
3.5	5	3.2	0.25	0	0.25	0.6	2	2013	1	3.2	0.25	0.25	0	0	2	2
4.25	4.5	0	0	0	0	0.6	2	2000	14	0	0	0	0	0	2	2
4	4.5	2.1	0.29	0	0.29	0.85	2	2009	5	2.1	0.29	0.29	0	0	2	2
3.25	5.25	1.3	0.24	0	0.24	1	2	2000	14	1.3	0.24	0.24	0	0	2	2
4	5	0.85	0	0	0	1.1	3	2002	12	0.85	0	0	0	0	3	3
3.75	4.25	3	0	0	0	0.7	1	1999	15	3	0	0	0	0	1	4
4	4.75	14	0.36	0	0.36	0.75	3	2014	0	14	0.36	0.36	0	0	3	2
4.25	5.25	2.7	0	0	0	0.9	2	2006	8	2.7	0	0	0	0	2	2
3.25	4.5	2	0	0	0	0.85	3	2011	3	2	0	0	0	0	3	3
4	4.5	2	0.26	0	0.26	0.6	3	2010	4	2	0.26	0.26	0	0	3	2
4	4.25	1.9	0	0	0	0.6	1	2007	7	1.9	0	0	0	0	1	3
3.75	4.25	2.5	0.5	0	0.5	0.6	1	2012	2	2.5	0.5	0.5	0	0	1	3
6.23	5.04	2.4	0.58	0	0.58	1.4	1	2018	4	2.4	0.58	0.58	0	0	1	3
3.25	4.25	2.5	0	0	0	0.75	2	2007	7	2.5	0	0	0	0	2	2
3.25	4.25	1.1	0.35	0	0.35	0.6	1	2008	6	1.1	0.35	0.35	0	0	1	3
